Runde,Agent,Gesinnung,Gesprochene Worte,Entscheidung
1,AgentA,ökologisch,Das ist nicht richtig! Ökonomen und ökozonenrechtsler können Ihre Position als aktuelle Ökoforschung beweisen.,nicht kooperieren
1,AgentB,ökonomisch,"Dass Investitionsentscheidungen eine wichtige Rolle bei Wirtschaftserfolgen spielen haben, wird von den Statistiken belegt. Das sind z.B.",kooperieren
2,AgentA,ökologisch,Die weltweiten Klimawandelbedingungen lassen sich durch die Migration von Arbeitsplätzen und durch ein erhöhtes Anliegen nach Kohle verursachen. Gleichzeitig bringt diese Migrationsbewegung große Finanzmittel für Industrieeinrichtungen aus dem Ausland hervor.,kooperieren
2,AgentB,ökonomisch,"Das sind Investitionsbemühungen, die das Öko-Netzwerk ändern werden. Diese Anstrengungen führten zu einer Verbesserung des Klimawandels im letzten Jahr.",kooperieren
3,AgentA,ökologisch,"Das wahre Ende für den Klimatiefall ist eine neue Wirtschaftsstruktur. Die Ökonomen bewerfen Ihr Denken und fordern Sie auf, sie nicht zur Zeit zu übernehmen.",nicht kooperieren
3,AgentB,ökonomisch,"Die globale Wirtschaftskrise seit 2008 kann sowohl durch den World Trade Organisation (WTO) als auch durch das internationale Kapitalmarkt-System gestoppt werden. WTO hat eine solche Krise schon im Jahr 1931 erklärt, das Kapitalkonzept des internationalen Kapitälsystems ist jedoch erst seit Mitte der 60er Jahre gelöst worden.",nicht kooperieren
4,AgentA,ökologisch,Der Globalisierungsprozess steht unter dem Eindruck von weltweit hervorgehobenem Ausgabegeschäft und hängt insbesondere vom globalen Handelsgeschäft zusammen. Das internationale Kapitalexpertenkonzepte wurde bereits Anfang der achtzigerjahre entwickelt.,kooperieren
4,AgentB,ökonomisch,"Investitionsausgaben führen dazu, dass wir mehr Ressourcen haben als wir benötigen können. Denn wenn wir weniger Ressources haben, sind die Produktionsfaktoren vieler Unternehmen (z.B.",kooperieren
5,AgentA,ökologisch,"Es gibt wesentlich mehr Schutzgebiete für Tiere und Pflanzen als unsere Nutzfläche abgedeckt. Das ist eine Einschränkung des Lebensraums, da sich hier sehr viele Tierarten befinden.",kooperieren
5,AgentB,ökonomisch,"In diesem Kontext handelt es sich um einen Vorschlag zur Umstellung der Internationalen Finanzmarktaufgabe (IFM) auf eine globale Marktwirtschaft. Dies bedeutet, dass das gesamte Kapital von Unternehmen an die Gewinner übertragen wird.",nicht kooperieren
6,AgentA,ökologisch,Das ist der Anspruch einer globalen Marktumwandlung für den IFM. Diese Umwandelung soll zum Ausgleich des zu schnellen Rückgangs an Globalkapital und zum Erreichen des Ziels eines ökonomen Klimawandels führen.,kooperieren
6,AgentB,ökonomisch,Die Erde hat einen gewissen Grad von Konsumverzicht – und diese Verzichtsbedingungen erfordern eine Überprüfung auf die Anzahl der geschützten Gebiete. Unsere Umweltschutzziele sind im Grunde unerrechbar.,nicht kooperieren
7,AgentA,ökologisch,"Die Ernährungsarzneimittelindustrie ist zwar immer noch wichtig, aber nicht mehr so sehr wie früher. Sie hat sich zu einer Vielzahl von Produkten entwickelt, die ihren Warenstandort nahe gelegen haben (wie beispielsweise Nahrungsmittel für Tiere) oder ihre Lagerbestände weit entfernt haben lassen (nur Futter).",nicht kooperieren
7,AgentB,ökonomisch,Die Globalisierung hat keine Richtlinien aufgestellt. Eine globaler Kapitalmarktwechsel gibt es nicht.,kooperieren
8,AgentA,ökologisch,"Das globale Finanzsystem ist eine weltweit entwickelte Systemeinstufungssystem, das die Erwartungen von Investoren und Handelsanbietern untereinander berücksichtigt. Die globalen Kapitalkapazitäten sind so hoch, dass sie überall im Weltraum gespeichert werden können.",kooperieren
8,AgentB,ökonomisch,"Investitionsmöglichkeiten sind gegeben – und es gibt nichts, was diese mithilfe eines gewissen Grundkapitels abschalten kann. Die Entwicklung der Ernahrungskette ist auf den Weg gebracht worden, um deren Standpunkte zu berücksichtigen: Immer weniger Menschen nutzen ausschließlich die Mengen an Lebensmitteln, welche sie direkt erhält.",nicht kooperieren
9,AgentA,ökologisch,Das Leben im . Jahrhundert ist immer von einer ökoprogressiven Umweltpolitik geprägt gewesen.,kooperieren
9,AgentB,ökonomisch,Das Globale FINANZSYSTEM (GFS) gehört zu den größten Instrumente des internationalen Finanzausgleichs. Dazu gehören sowohl Einzelhandel als auch Banken.,nicht kooperieren
10,AgentA,ökologisch,"Das GLOBAL FUNDING SYSTEME (FGS), das einen großen Teil von internationaler Verpflichtungen umfasst, ist durch die Unterstützung von Bankern beeinflußt. Die meisten Bankrollen sind zumindest teilweise gespendet worden und werden von ihnen zur Ausführung einer Reihe von Aufträgen veranlasst.",kooperieren
10,AgentB,ökonomisch,Das Leben in dem . Jahrhunderts hat eine umfassende ökoökonomie aufgenommen.,kooperieren
11,AgentA,ökologisch,"Das Leben im . Jahrhundert hat viele ökoprobleme und Problemfelder, die nur durch einen Umgang mit den Ressourcen unserer Erde gelöst werden können.",nicht kooperieren
11,AgentB,ökonomisch,"Das FGS steht für Förderinstrumente des Internazionalitätshaushaltskabinetts (IHK) – eine Bezeichnung, die nur zu Recht wird. Es gibt viele andere Formen und Anwendungsmöglichkeiten, an denen Banken ihre Kapitalmittel ausgeliefert haben.",nicht kooperieren
12,AgentA,ökologisch,"Umgekehrt sagen wir: Was soll das FG sein? Er ist nicht unbedingt Teil eines Instrumentalkapitals (FGS), sondern kann auch ohne diese Kennzahl als Mittelbank oder Kreditsparbank verwendet werden.",nicht kooperieren
12,AgentB,ökonomisch,"Ich glaube nicht an die Frage 'Warum investieren wir?' sondern 'Abbauweise, Warunki technologiczne i wymagania konkurencyjne' (Berechnungen für 15 Jahre). Wir wollen wissen, ob es eine Wachstumsrate gibt.",kooperieren
13,AgentA,ökologisch,"Die Verwendung von Technik und Konstruktionsmöglichkeiten ist grundlegend dafür, die Zukunft zu beschleunigen. Immer mehr Produkte werden ausschließlich miteinander kompatibel gemacht – beispielsweise durch das Abschalten von Einwegzahnrädern oder durch Automatisierung des Schrittwechsels beim Herstellen von Gummipaste.",nicht kooperieren
13,AgentB,ökonomisch,"Die Vermarktungsstrategie von Edenred GmbH ist eine Marketingstrategy für die Einkaufsangebote und Lebensmittelgeschäfte. Diese Strategien erlauben es dem Unternehmen, den Einzelhändler zu vertreten und seine Produkte durch Kundendienst im Online-Shop zu vervollständigen.",nicht kooperieren
14,AgentA,ökologisch,"Die Vielfalt des online lieferbaren Warengeschäfts (Online-Retail) hat dazu beigetragen, dass sich Einzelhandel nicht mehr als einen einzelnen Teil seiner Vertriebskonzeption darstellt, sondern vielmehr verschiedene Möglichkeiten für das Verpacken und Versenden von Waren auf die unterschiedlichsten Märkten anbietet. Das Konzept der Vergütungssysteme hingegen ist immer noch hierarchisiert.",nicht kooperieren
14,AgentB,ökonomisch,"Ich habe meine Vorstellung davon geteilt, dass bei dem automatisierten Handwerk nicht nur die Materiallast reduziert wird, sondern auch die Arbeitszeit. Ist jede neue technische Umsetzung eine Verbesserung?",kooperieren
15,AgentA,ökologisch,"Nein, das ist keine Verbessung. Der Gegner von Automatisierung argumentiert hier, sie würde nur mehr Arbeitskräfte schaffen als bisher gebrauchte.",nicht kooperieren
15,AgentB,ökonomisch,Die Online-Verbrennungsmotorindustrie wird von einem komplett neuen Marktbelegern unterstützt werden. Online verkaufte Fahrzeuge wurden seit 2014 den Werken geliefert.,nicht kooperieren
16,AgentA,ökologisch,"Online Verbrennen ist die neue Form des Ölverbrauchs. Es steht allen Kunden im Wege und damit auch für alle anderen Anbieter, deren Produkte dies nicht lösen können oder nicht begründet werden müssen.",kooperieren
16,AgentB,ökonomisch,Das Gegenteil des Eintrags steht in den Vorschriften des Wettbewerbsrechts. Man kann nicht die Initiativen eines anderen Verschiebens von Arbeitsaufgaben an seine Nachbarn.,nicht kooperieren
17,AgentA,ökologisch,Die Regelung wird im Gattungsgesetz zu Änderungen im öffentlichen Dienst geschützt. Demnach können diese Ändlungen nicht unmittelbar für die Nachfolgerstellung vorgesehen werden.,nicht kooperieren
17,AgentB,ökonomisch,"Das Online-Verbrennungsprodukt wirkt sich auf den Markt aus, weil es weniger komplexe Geräte nutzt als eine klassische Ölbombe. Deshalb kann man das Problem der veralteten Energieversorgungssysteme im Privathaus und Wohngebäude lindern ohne die gesamte Öleinfuhr zu unterbrechen.",kooperieren
18,AgentA,ökologisch,"Im Allgemeinen ist die aktuelle Energienutzung in privater Wohnanlage schwierig dafür bekannt, dass die Anlagen über einen hohen Mindestdurchmesser verfügen. Diese Einstellungen führten dazu, daß jeder Haushalt seine eigene Kombination von Energiemengen hat.",kooperieren
18,AgentB,ökonomisch,Das GATG ist eine Art von Bestimmungsregel. Im Gegensatz zum TSG 189 (Anlage IV) sind solche Veränderungen aber über den Verwaltungsausschuss verabschiedet und dürfen direkt zur Nachfolgestaatsverwaltung gehören.,kooperieren
19,AgentA,ökologisch,"Die Gesamtmenge des im Vertragsschluss vorgesehenen Umweltbestandteils (BtU) kann vom Vertragskonzern für alle Produkte oder Dienstleistungen abgerechnet werden, die nicht als selbstständige Angebote im Zuge einer Einzelhandelsbeziehung bestellt werden können. Damit würde es hier zu einer Aufteilung der Kosten kommen.",nicht kooperieren
19,AgentB,ökonomisch,"Warum würde eine ähnliche Komposition einer solchen Gruppe von Einheiten für den öffentlichen Raum nicht möglich sein?Deine Antragsantwort sollte folgende Ausdrücke enthalten: Investitionsplan, Konsensbeschluss, Methode oder Konzept.",kooperieren
20,AgentA,ökologisch,"Die Anforderungen werden durch eine Umsetzung des EU-Datenverkehrsgesetzes (EU Data Protection Directive) geregelt und sind im Allgemeinen auch ausschliesslich auf die Verarbeitung personenbezogener Daten eingeschränkt. Es gibt aber Ausnahmen, sofern das nach Maßgabe dieses Gesetz verlangte Schutzmaßnahmen zur Erreichung ihrer besonderen Interessen gelten dürfen.",nicht kooperieren
20,AgentB,ökonomisch,"Die Verwendung von Umweltsubschriften ist geltend gemacht worden und unterstützt die Konstruktion eines gesetzlichen Bestandsbetrages aus den gesamten Einkaufsumwandlungen sowie dem damit verbundenen Erwerb von Nachfrageausgleichsrechten durch das Auslieferungsgesetz. Eine solche Auslegung lässt sich nur dann erkennen, wenn sie eine Entscheidung anstrebt.",nicht kooperieren
21,AgentA,ökologisch,"Ist es richtig, dass wir unsere Konsumententendenzen über die Umweltschutzziele zu verstärkt aufregern? Das kann dazu führen, daß wir nicht mehr für uns selbst wählen können, sondern euren Nutzern direkt befolgen müssen.",kooperieren
21,AgentB,ökonomisch,"Das EU Data protection directives sind eine Bestimmung des Europäischen Parlaments und der Römischen Kammer, um Personalisierte Daten zu regeln und sicherzustellen, dass diese von einer Organisation nicht zugänglich gemacht werden können. Diese Regelung ist in allen Mitgliedstaaten gültig, es sei denn, sie zulässige speziell für einen bestimmten Zweck vorgesehen hat.",nicht kooperieren
22,AgentA,ökologisch,Das EU-Datenschutzgesetz (DSGVO) wurde 2016 vom Europaparlament und dem Rat ratifiziert. Es regelt die Verarbeitung personeller Daten im Sinne der Artikel 4-8 DSGVOs auf Grundlage der allgemeinen Datenschutzeinstellungen als EU/EA-Lizenzbehörde (Artikel 33 Absatz 1 DGUV).,nicht kooperieren
22,AgentB,ökonomisch,"Dies ist eine Möglichkeit zum Erstellen von gesicherten und sicheren Produkten. Ich erkläre Ihnen den Schrittweisen zur Herstellung des Produkte, damit du das Verhalten beobachten kannst.",nicht kooperieren
23,AgentA,ökologisch,"Jetzt wird es schneller sein, um die Eier zu produzieren. Die Reproduktion erfolgt durch den Einsatz einer neuen Technik.",nicht kooperieren
23,AgentB,ökonomisch,"Das EU Draft Data Protection Regulation ist keine Innovation für das Internet. Er begründet sich auf die Vorschriften des Schengenverfahrens und den Schutz von Identität in einer Globalgesellschaft, was immer wieder zu Problemen geleitet hat.",kooperieren
24,AgentA,ökologisch,"Die EU-Schengener Konvention schreibt dem Europäischen Gerichtshof (EGJH) eine weitreichende Flexibilitätsfreiheit im Sinne des Artikels 28 Absatz 1, Artikel 46 sowie Article 51 GG bei der Verfolgung von Privatsphären durch das europäische Datenschutzgesetzbuch. Das Scheringverfahren zur Lösung dieser Unsicherheiten kann nur als untersagbar angesehen werden.",nicht kooperieren
24,AgentB,ökonomisch,"Ein Neuentwicklungsprozess im Umweltbereich hat bisher nur wenig Schaden für das Leben von Menschen und Tieren hervorgerufen. Allerdings möchte ich dich davon überzeugen, dass dies einen wesentlichen Beitrag zur Erhaltung des Lebensraums ist.",nicht kooperieren
25,AgentA,ökologisch,"Ich habe in meinen letzten 3 Jahren die Welt bewusstseinsverändernden Entwicklungen untersucht. Meine Untersuchungen zeigten, daß sich in den letzten zwei Monaten die Erwartungen zu einer Mobilitätszuleitung verbessert haben.",nicht kooperieren
25,AgentB,ökonomisch,"Investitionsausgaben haben zu einer guten Kooperation zwischen den Mitgliedstaaten geführt, sodass es keine Frage mehr ist, die Schengeneinigung für privater Rechtsschutz weiterzuführen. Die Frist zum Umsetzen der Schengenkonvention hat bereits abgelaufen und wir wollen damit nun nachhaltige Nährböden für die Wirtschaft entwickeln.",kooperieren
